id,mmsi,status,station,speed,lon,lat,course,heading,rot,timestamp,created_at,updated_at
1105,311040700,1354,154,34.04363,34.19367,288,288,,0,1372700220,,
1106,311040700,1355,154,34.03823,34.1952,288,288,,0,1372700100,,
1107,247039300,1356,155,16.97322,41.26126,124,123,,0,1372700400,,
1108,247039300,1357,155,16.97838,41.25855,124,123,,0,1372700400,,
1109,311040700,1358,154,34.02599,34.1986,288,288,,0,1372700580,,
1110,311040700,1360,154,34.02017,34.20019,288,287,,0,1372700520,,
1111,247039300,1361,155,16.98927,41.25292,124,123,,0,1372700400,,
1112,311040700,1363,155,34.01465,34.20165,287,288,,0,1372700640,,
1113,311040700,1364,157,34.00225,34.20493,287,288,,0,1372700340,,
1114,247039300,1365,156,17.00765,41.24338,124,123,,0,1372700100,,
1115,311040700,1366,158,33.98598,34.20909,286,288,,0,1372700460,,
1116,247039300,1367,158,17.0236,41.23518,123,123,,0,1372700220,,
1117,311040700,1368,159,33.97883,34.21077,285,288,,0,1372700460,,
1118,311040700,1369,158,33.97324,34.21215,286,288,,0,1372700400,,
1120,311040700,1371,159,33.96149,34.21506,286,288,,0,1372700580,,
1121,311040700,1372,159,33.95587,34.21646,286,288,,0,1372700520,,
1122,311040700,1374,159,33.95027,34.21789,287,288,,0,1372700460,,
1124,247039300,1376,157,17.06213,41.21552,123,123,,0,1372700220,,
1125,311040700,1377,159,33.93855,34.22094,287,288,,0,1372700460,,
1126,311040700,1378,159,33.93294,34.22237,287,288,,0,1372700160,,
1128,311040700,1380,159,33.92175,34.22528,287,288,,0,1372700580,,
1129,311040700,1381,159,33.91012,34.22837,287,288,,0,1372700340,,
1130,311040700,1382,159,33.90456,34.22987,288,288,,0,1372699980,,
1131,247039300,1383,157,17.10565,41.19352,124,123,,0,1372700220,,
1132,311040700,1384,158,33.88169,34.23564,286,288,,0,1372700580,,
1133,311040700,1385,158,33.8761,34.23701,286,288,,0,1372700100,,
1134,247039300,1386,158,17.12253,41.18505,123,123,,0,1372700460,,
1135,311040700,1387,157,33.87004,34.23852,286,288,,0,1372699980,,
1136,311040700,1388,157,33.86457,34.23988,286,287,,0,1372700040,,
1137,247039300,1389,157,17.1386,41.177,122,123,,0,1372700220,,
1138,247039300,1390,158,17.14393,41.17433,123,123,,0,1372700040,,
1139,311040700,1391,156,33.8534,34.24262,285,287,,0,1372700100,,
1140,311040700,1392,156,33.84785,34.24389,285,288,,0,1372700040,,
1141,247039300,1393,157,17.155,41.16883,123,123,,0,1372700580,,
1142,311040700,1394,156,33.83675,34.2465,286,288,,0,1372700040,,
1143,247039300,1395,157,17.16137,41.16567,123,123,,0,1372700640,,
1144,311040700,1396,157,33.83119,34.24784,286,288,,0,1372700220,,
1145,247039300,1397,158,17.17842,41.15735,123,123,,0,1372700280,,
1146,311040700,1398,158,33.81447,34.2519,286,287,,0,1372699980,,
1147,247039300,1399,158,17.18437,41.15443,122,123,,0,1372700220,,
1148,247039300,1401,159,17.19017,41.15154,123,123,,0,1372700580,,
1149,311040700,1404,158,33.8023,34.25492,286,287,,0,1372700220,,
1150,247039300,1405,159,17.19557,41.14888,123,123,,0,1372700220,,
1151,311040700,1406,159,33.79618,34.25642,286,288,,0,1372700280,,
1152,311040700,1407,159,33.79065,34.25779,286,288,,0,1372700340,,
1153,247039300,1410,160,17.20705,41.14323,123,123,,0,1372700100,,
1154,311040700,1411,158,33.78496,34.25922,286,288,,0,1372700580,,
1155,247039300,1413,159,17.2183,41.1376,123,123,,0,1372700520,,
1156,311040700,1414,159,33.77325,34.26217,287,288,,0,1372700220,,
1157,311040700,1415,159,33.76205,34.26503,287,288,,0,1372700400,,
1158,247039300,1416,159,17.23538,41.12908,123,123,,0,1372700340,,
1159,311040700,1417,158,33.7458,34.26922,287,288,,0,1372699620,,
1160,247039300,1418,159,17.25208,41.12075,121,121,,0,1372699980,,
1161,311040700,1419,158,33.74022,34.27065,286,287,,0,1372700340,,
1163,311040700,1421,158,33.72295,34.27499,287,288,,0,1372700340,,
1164,247039300,1422,159,17.27422,41.11085,120,120,,0,1372700580,,
1165,311040700,1423,158,33.71737,34.27643,287,288,,0,1372699980,,
1166,247039300,1424,159,17.2859,41.1055,121,120,,0,1372700520,,
1167,311040700,1425,158,33.70632,34.27925,287,288,,0,1372699980,,
1168,311040700,1426,158,33.70127,34.28057,287,288,,0,1372700100,,
1169,311040700,1427,156,33.69514,34.28205,286,288,,0,1372699980,,
1170,311040700,1429,153,33.6897,34.28338,286,288,,0,1372699980,,
1171,247039300,1430,160,17.31458,41.09248,121,120,,0,1372700520,,
